Rat_external_gene_name_b38_Astrocyte,Rat_external_gene_name_b38_Microglia,Rat_external_gene_name_b38_Oligo,Rat_external_gene_name_b38_Endothelial,Rat_external_gene_name_b38_GabaPV,Rat_external_gene_name_b38_GabaRelnCalb,Rat_external_gene_name_b38_GabaVIPReln,Rat_external_gene_name_b38_Microglia_activation,Rat_external_gene_name_b38_Microglia_deactivation,Rat_external_gene_name_b38_OligoPrecursors,Rat_external_gene_name_b38_Pyramidal
Ttyh1,AABR07054266.1,Nkx6-2,Pglyrp1,Gpr176,Prokr2,Bglap,Il4r,Lrrk1,Ppp1r14b,Sv2b
Slc7a10,SNORD22,D7Ertd443e,Spc25,Zfp804a,Tnni3k,Snora23,Ccdc86,Cd33,Pold1,Neurod6
Cd44,Rin2,Fign,Ltbp4,Cartpt,Nmbr,Vip,Cd53,Dok1,Adamtsl3,Rasgef1a
Hapln1,Tagap,Tprn,Ret,Cox6a2,Rxfp3,Npas1,P2ry6,Irak2,Dpyd,Ipcef1
Bglap,AABR07000631.1,Scd2,Snord35b,Pip5kl1,Fibcd1,Crh,Ms4a6a,S100a8,Dll1,Slc17a7
Slc1a2,Il21r,Aven,Atp10a,Kcnc1,Moxd1,Chrna7,Il1a,Clec4a3,Lpcat1,Itpka
Fjx1,Zfp619,Chn2,Bub1b,Kcnmb2,Sfrp2,Sorcs3,Spint1,Lpxn,Cftr,Tiam2
Npdc1,Fyb1,Gss,She,Mme,Dmrt2,AC111647.1,Trim30c,Tspan32,Pabpc4l,Pcsk2
Akt2,Ctss,Ermn,Podxl,Wif1,Gal,Bpifb6,Ms4a6bl,S100a9,Cep41,Ttc9b
Ezr,Igsf6,AC126960.1,Trim34,Gpnmb,Cdh4,Noxred1,Il17ra,Siglech,Matn4,Glt8d2
Kirrel2,AABR07002774.1,Adamtsl4,Egfl7,Lrrc38,Pdyn,Cnr1,Mcl1,Hhex,Cdc14a,Neurod1
Exd1,AC135826.1,Mal,Stom,Gpr83,Lsmem1,Tac3,AABR07005779.1,Pmepa1,Slc5a11,Dnajb5
S1pr1,Naip5,Rnf13,Iqgap1,Tcap,RGD1311744,Egln3,Mvp,Tcirg1,S100a3,Phf24
Fam181b,Phyhd1,Sgk2,Nostrin,Erbb4,Elfn1,Cyct,Zfp36,Tubgcp5,Actr5,Tbr1
Cyp7b1,Irf5,Klk6,Pltp,Gabrd,Sst,Gpr135,Rela,Ebf3,Sema3d,Fam131a
Slc25a18,Fes,Ccp110,Lsr,Ostn,Oxtr,Slc44a5,Frrs1,Sirpa,Pde1c,Arhgap32
Gstm1,Cttnbp2nl,Dhfr,Thbd,Slit2,Cacng5,RGD1560559,Cep152,Arhgap17,Fam71f2,Nptx1
F3,Rrbp1,Myrf,Myct1,Btn2a2,Nppc,Htr3b,Tlr2,Samhd1,Hps1,Ptk2b
Lpin3,Spi1,Bpgm,Cd93,Ngf,Shisa6,Mdh1b,Fgl2,Camk1,Shc4,Baiap2
Tril,Pon3,Kndc1,Cxcl12,Adamts15,Calb2,Zfp618,Il6,Capn3,Acan,Rnf112
Crot,Tfpi,Spart,Tm4sf1,Cacna2d2,Hpse,Slc10a4,Vasp,Pycard,Ap5b1,Fhl2
Lgr4,M1ap,Ada,Adgrl4,Tmem132c,Tmtc4,Sp8,Csf2rb,Ctsd,Cercam,Satb2
Kctd14,Chst14,Sirt2,Anxa4,Inpp5j,,Htr3a,Cebpb,Plcb2,Fosb,Rprml
Nr1h3,Tgfb1,Cntf,Hmgcs2,,,Sln,Glipr1,Tmem140,Fzd1,Rgs14
Ucp3,Soga1,Gng8,Emcn,,,Chrna3,C1qb,Abl1,Hells,Nrgn
Vav3,Gvin1,Arrdc3,Aurka,,,Gldn,Slco4a1,Det1,Rad51,Syt16
Sdc4,Ccdc88b,Josd2,Gstm6l,,,Serpina3m,Tpm3,Klk8,E2f8,Kcnv1
Pcsk6,Sqor,Srd5a1,Mcub,,,Serpina3c,B4galt1,Tnni2,Rnf180,Myl4
Olr198,Dapp1,Dbndd2,Wwtr1,,,Serpina3n,Ncf4,Unc93b1,Cpa4,Stx1a
Olr199,C3ar1,Cdc42ep2,Pdlim5,,,Mir374b,Hck,Bank1,Rhcg,Zfyve28
Pax6,Card9,Pde8a,Angptl2,,,Kit,Plk3,Il16,Vcan,Nrn1
Vcam1,Gmfg,Trim59,Abcb1b,,,Tnfaip8l3,Ccnl1,Heca,Lhfpl3,Cnksr2
Lhx2,Apobec1,Cldn11,Sigirr,,,Pnoc,C1qa,Cd177,Adam12,
Mfge8,Rnaset2,Mag,Eng,,,Rgn,Slc15a3,Snx5,Col9a3,
A2m,Tent5c,Taldo1,Egflam,,,Clnk,Ms4a6b,Ttf2,Sfn,
Papss2,Sipa1,Desi1,Bcl2l12,,,Agtr1a,Rac2,Rbl1,Rassf8,
Gldc,Fcrl2,Ankub1,Utrn,,,Nectin3,Oas1a,Hpgds,Lgals2,
Nat8f5,Lilrb4,Fnbp1,Vwf,,,Ribc1,Oas1k,Clec7a,Muc1,
Eva1a,Pag1,Mob3b,Arhgap29,,,Crispld2,Lefty1,Blnk,Myt1,
Nat8f2,Ifngr1,Nkain1,Cd40,,,Aff3,Rhoh,Gna15,Cpxm1,
Nat8f4,Hk2,S1pr5,Sgms1,,,Cplx3,Tp53bp2,Tifa,Slc2a12,
Sema4b,Sfxn2,Pkd2l1,Nos3,,,Sncg,Ccl2,Myo1f,Col24a1,
Emx2,B2m,Fam83d,Tmem252,,,Agtr2,Stk40,Plxnb2,Ezh2,
Ccn1,Ppp1r15a,Elovl7,Cast,,,,AC141169.3,Mfng,Bub1,
Pdk4,Il6r,Tmem125,Xdh,,,,Nfkbiz,Fam78a,Bmp7,
Lix1,C5ar2,Thbs3,Clec14a,,,,Icam1,Arhgdib,Galnt3,
Slc1a3,C1rl,Nfe2l3,Itga1,,,,RGD1563917,Cd180,Rmdn2,
Aass,Cd37,Cers2,Fgd5,,,,Npl,Ptpn6,Plekhg6,
Nat8,Erap1,Gstp1,Anxa1,,,,Runx1,Lrba,Wipf1,
